source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude
hindu,http://www.hindu.com/2010/11/24/stories/2010112450790100.htm,2729,11/16/2010 12:00:00 AM,,"road near Saverikadu village(?), between Palani and Kodaikanal, Tamil Nadu province",The Highways Department had earlier closed traffic on Palani-Kodaikanal ghat road after a massive landslide near Saverikadu village recently. It has started the construction of a permanent structure to prevent further landslides in this village.,"road near Saverikadu village(?), between Palani and Kodaikanal, Tamil Nadu province",10km,landslide,downpour,medium,unknown,0.0,,,,,glc,2729.0,India,IN,Tamil Nadu,35021.0,Kodaikānāl,9.71213,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,77.5277,10.3184
Times Of India,http://timesofindia.indiatimes.com/city/kozhikode/Youth-killed-in-landslide-in-Idukki/articleshow/52757398.cms,9141,06/15/2016 09:00:00 AM,,"Vazhavara, Idukki, Kerala, India","Former SFI Idukki district president Joby John was killed and his mother was seriously injured when mounds of earth and rocks fell on their home following heavy rain at Vazhavara early on Wednesday, aid the police.   The incident occurred around 6am when Joby and his father Johnny, mother Chinnamma were sleeping in their home.   There was a landslide50 feet above their home on Wednesday. Joby and his mother were trapped underneath the rubble and his father managed to escape somehow. He alerted neighbours and they rescued his wife. She is recuperating at a private hospital in Kattappana.   They couldn't extricate Joby and finally the fire force rescued him and he died. His funeral was held at the St May's church after autopsy. Joby had served as the state committee member, DYFI district block president and was a member of the CPM local committee here.","Vazhavara, Idukki, Kerala, India",1km,rock_fall,downpour,medium,unknown,2.0,1.0,,,,glc,9141.0,India,IN,Kerala,11248.0,Idukki,11.91942,07/22/2016 08:46:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,77.0611,9.7967
articles.timesofindia.indiatimes.com,http://articles.timesofindia.indiatimes.com/2013-08-10/thiruvananthapuram/41266154_1_monsoon-fury-memorandum-crossed-rs,5264,08/04/2013 12:00:00 AM,,Kerala,"The state government has sought a financial assistance of Rs 5,660 crore from the Union government to cope with monsoon-related calamities that claimed 175 lives, damaged 60,000 houses and ravaged over 50% of roads across the state. In a memorandum submitted to Prime Minister Manmohan Singh, chief minister Oommen Chandy said monsoon-related calamities were to be considered a national disaster and the state -- which had been fighting the ill- effects of severe drought till a couple of months ago -- was not in a position to handle the financial implications of rain devastation in Kerala. Monsoon rainfall in 2013 had exceeded the forecast, causing landslides and floods in several districts. Coastal erosion compounded the problem, damaging the state coastline significantly. Floods devastated several villages leading to evacuation and dislocation of a large number of families, the memorandum said. ""Out of the 1,51,652km of roads in the state, more than 50% have been severely damaged. Secto",Kerala,unknown,mudslide,downpour,large,unknown,,,,,,glc,5264.0,India,IN,Kerala,49330.0,Kizhake Chālakudi,10.61205,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,76.4319,10.3228
articles.timesofindia.indiatimes.com,http://articles.timesofindia.indiatimes.com/2013-07-24/kochi/40770572_1_granite-quarry-perumbavoor-migrant-labourer,5171,07/23/2013 08:45:00 AM,,"Vengola, Kerala","At least three persons have been trapped in a heap of mud and rock following a landslide at a granite quarry at Vengola near Perumbavoor on Tuesday. Police personnel, fire and rescue workers and local people were engaged in rescue operations late into the night. Police said Mohanan, Santhosh and Vijayan, all residents of Perumbavoor, are believed to be trapped in the rubble. Residents, however, claimed that a migrant labourer had also been trapped. Two persons, Raju of Perumbavoor and a migrant labourer from Odisha, were rescued from the rubble and they are undergoing treatment at hospitals in Kolenchery and Kochi. Vijayan has been reportedly running the quarry after leasing it out from the original owner. Police said a portion of the land, mainly huge rocks and mud, fell off the top of the quarry around 8.45 am. They could rescue Raju, operator of the escavator engaged in loading rocks on to a truck, and his assistant with the help of fire and rescue personnel. ""Efforts are on to rem","Vengola, Kerala",5km,rock_fall,unknown,small,unknown,2.0,2.0,,,,glc,5171.0,India,IN,Kerala,26550.0,Perumbavoor,5.96082,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,76.4788,10.0533
The Hindu,http://www.thehindu.com/news/national/kerala/heavy-rain-lashes-state/article19155713.ece,10011,06/27/2017 01:10:00 PM,,Landslide blocks road on Wayanad pass,"Heavy rain, up to 20 cm, throughout Kerala state on 6/27, landslide on hilly Wayanad pass. Blocks 1.5 lanes of Highway 766.","Highway 766, Wayanad District, Kerala State, India",1km,landslide,continuous_rain,small,above_road,0.0,0.0,,http://www.thehindu.com/news/national/kerala/article19156489.ece/alternates/FREE_660/28tvwylandslideonghatroads1,,,,,,,,,,06/29/2017 01:10:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,76.01854791,11.51185539
Hindu,http://www.thehindu.com/news/states/kerala/article2333186.ece,3885,08/06/2011 09:00:00 AM,,Kanamala in Erumeli Panchayat,"Massive loss to crop and property have been reported from the high ranges areas of the district bordering neighbouring Idukki district in the heavy rains that lashed the area during the past 24 hours.  Major landslides have been reported from Pallippady in Koruthode panchayat, Cholathadam in Poonjar Thekkekkara panchayat and Kanamala in Erumeli Panchayat, during early hours of Sunday, authorities said. Parathode panchayat in near Kanjirappally witnessed widespread landslips. Losses to houses have also been reported from Koruthode panchayat.  Most of the affected area falls under Poonjar and Pala assembly segments. Speaking to The Hindu, P.C. George MLA, who represents Poonjar said, governmental machinery has already been pressed in for relief operations. The Erattupetta-Pala Road and Pala-Ponkunnam Road remained inundated in many areas disrupting vehicular traffic. ",Kanamala in Erumeli Panchayat,5km,landslide,downpour,medium,unknown,,,,,,glc,3885.0,India,IN,Kerala,38285.0,Pathanāmthitta,24.22781,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,76.8696375,9.497393176
Daijiworld.com,,166,08/09/2007 12:00:00 AM,,Mangalore,closest to predicted location of Dahanu (792.36 km),Mangalore,10km,landslide,rain,medium,unknown,,,,,,glc,166.0,India,IN,Karnataka,417387.0,Mangalore,4.93601,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,74.8481,12.8733
ibnlive.in,http://ibnlive.in.com/news/crops-worth-rs-185-lakh-destroyed-in-idukki/156739-60-116.html,3566,06/02/2011 12:00:00 AM,,"Munnar, Idukki district, Kerala","Jun 05, 2011 at 12:04pm IST  KATTAPPANA: The heavy rain which has been lashing the district for the last several days has caused heavy damage to crops and property. According to the Agriculture Department sources, crops worth Rs 18.5 lakh in 150 hectares of land have been destroyed. The farmers in Thodupuzha, Peermade and Idukki taluk suffered a major loss as the crops got damaged in the rain. Three houses were fully damaged and over 17 houses were partially damaged in several parts of the district. Landslides were reported in Thodupuzha, Kulamavvu, Munnar and Elappara in the last two days. Power supply was disrupted in many parts of Idukki owing to the snapping of transmission lines. Traffic on many roads in and around the district was also disrupted owing to landslides. Landslide occurred over Past 2 days.","Munnar, Idukki district, Kerala",10km,landslide,downpour,medium,unknown,0.0,,,,,glc,3566.0,India,IN,Kerala,68000.0,Munnar,0.93276,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,77.0696,10.0838
The Hindu,http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/landslip-blocks-traffic-for-3-hours/article17660884.ece,10731,03/24/2017 03:26:00 PM,,Coonoor-Mettupalayam Road Landslip Caused by Broken Pipeline,"A landslip occurred on the National Highways along Coonoor- Mettupalayam Road near Kurumbapadi, around 10-12 km away from Coonoor, blocking traffic for over three hours on Friday.  Fire and Rescue Services Department officials said that a broken pipeline loosened some of the soil by the side of the road, leading to the landslip. A tree also fell on the road, and traffic came to a standstill at around 2.30 a.m. on Friday.","Coonoor-Mettupalayam Road, near Kurumbapadi, 10-12 km from Coonoor, Tamil Nadu, India",5km,landslide,leaking_pipe,small,above_road,0.0,0.0,,,Time approximated from when traffic came to a standstill,,,,,,,,,09/25/2017 03:26:00 PM,12/01/2017 11:10:00 PM,02/15/2018 03:51:00 PM,76.869056,11.339753
The Hindu,http://www.thehindu.com/news/cities/Coimbatore/Heavy-rain-triggers-landslips-in-Nilgiris/article16643579.ece,10726,11/16/2016 03:00:00 PM,,Landslide near Katteri Park,A tree fell on the road near Katteri Park due to landslide and was cleared early in the morning.,"Katteri Park, Tamil Nadu, India",exact,landslide,rain,small,,0.0,0.0,,,,,,,,,,,,07/12/2017 02:00:00 PM,12/01/2017 11:10:00 PM,02/15/2018 03:51:00 PM,76.801586,11.329547
The Hindu,http://www.thehindu.com/news/cities/Thiruvananthapuram/three-killed-and-one-injured-in-house-collapse-in-nedumangad/article17998275.ece,10722,04/13/2017 01:34:00 PM,,Fatal landslide in Chembakasserikonam,"Landslide during downpour causes house to collapse, killing 3 and injuring one. Other house also damaged.","Nedumangad, Thiruvananthapuram, Kerala State, India",5km,landslide,downpour,small,urban,3.0,1.0,,,,,,,,,,,,07/28/2017 01:34:00 PM,12/01/2017 10:55:00 PM,02/15/2018 03:51:00 PM,76.97925203,8.584503303
